Policy,Govern,Identify,Protect,Detect,Respond,Recover,DocumentType,Reasoning
MD_DOIT_CyberRiskMgmt_Policy.pdf,2,2,1,1,1,0,Cybersecurity Policy,"State-level risk management policy (MD-POL-201-01, 2026). GV=2: defines risk appetite/tolerance, enterprise risk strategy, third-party risk management, and explicit SCISO/AO roles. ID=2: mandates vulnerability, privacy-impact, network, software, physical, and threat-intelligence assessments. PR=1: references ZTA access control and least-privilege but delegates specifics to other policies. DE=1: continuous monitoring referenced (section 200.2.7) but not detailed here. RS=1: risk response framed but no incident-response procedures. RC=0: no recovery/continuity content."
MD_DOIT_ContinuousMonitoring_Policy.pdf,1,0,1,2,1,0,Cybersecurity Policy,"State Continuous Monitoring Policy (MD-POL-208-01, 2026). Explicitly maps to NIST CSF 2.0 DE.CM and DE.AE. GV=1: SCISO/ISO roles and policy authority established. ID=0: no asset-management or broader risk-assessment content. PR=1: least-privilege enforcement and authentication monitoring cited within ZTA goals. DE=2: comprehensive network, system, physical-environment, personnel, and external-provider monitoring plus event-analysis and incident-declaration criteria. RS=1: incident declaration references MD-STD-308-IR but does not detail response procedures. RC=0: no recovery content."
MD_DOIT_SystemNetworkSecurity_Policy.pdf,1,1,2,1,0,2,Cybersecurity Policy,"State System & Network Security Policy (MD-POL-207-01, 2026). Maps to NIST CSF 2.0 PR.PS (Platform Security) and PR.IR (Infrastructure Resilience). GV=1: governance structure and SCISO/ISO roles defined. ID=1: cybersecurity inventory management mandated (section 200.1.7). PR=2: configuration management, software/hardware security, audit logging, approved-software lists, secure SDLC, network segmentation. DE=1: audit logging supports detection. RS=0: no incident-response content. RC=2: resilience section explicitly addresses recovery from disruptions, load balancing, redundant storage, and geographically dispersed architecture."
MD_IT_SecurityManual.pdf,2,2,2,2,2,2,Cybersecurity Policy,"Maryland IT Security Manual v1.2 (2019), 200+ pages. The most comprehensive document in the corpus. GV=2: risk management, security authorization, planning, roles (AO, CISO, SO, IRT), procurement policy. ID=2: asset management, information classification, system security categorization, risk assessment. PR=2: access control, identification/authentication, encryption, awareness and training, configuration management, media protection, physical/personnel security. DE=2: audit and accountability, system and information integrity, continuous monitoring. RS=2: incident response (section 6.4), IT Incident Reporting Form (Appendix B), incident handling checklist (Appendix G). RC=2: contingency planning, disaster recovery, business continuity, backup plans."
MD_Judicial_InfoSecurity_Policy.pdf,2,2,2,2,2,2,Cybersecurity Policy,"Maryland Judiciary Information Security Policy (Jan 2026). GV=2: CIO/ISO/CTO roles, AOC/CTechCom governance body, annual review requirement. ID=2: asset inventory, data classification, security categorization. PR=2: access control, authentication, configuration management, security education/awareness, media protection, physical/personnel security, DLP, SDLC. DE=2: audit and accountability, system integrity. RS=2: incident management (section 6.5). RC=2: disaster preparedness plan (section 6.4), backup plans (section 6.11), business continuity. Explicitly cites NIST and CIS Frameworks."
MD_DHMH_IT_SecurityPolicy.pdf,2,2,2,2,2,1,Cybersecurity Policy,"DHMH IT Technical Security Policy v4.0 (2014). GV=2: risk management, security authorization, planning, network service agreements, governance roles. ID=2: asset inventory, classification, risk assessment, system security categorization. PR=2: access control, authentication, encryption, training, configuration management, media protection, physical/personnel security, information integrity. DE=2: audit and accountability (section 7.2), system integrity. RS=2: incident response (section 6.4) and Incident Response Protocol (SAR-15). RC=1: contingency planning (section 6.3) mentioned but backup/DR less detailed than newer policies."
MD_MSDE_AUP_2024.pdf,1,0,2,0,0,0,Cybersecurity Policy,"MSDE Cybersecurity Acceptable Use and Communications Policy v2.0 (Oct 2024). GV=1: CISO authority established, policy scope and applicability defined. ID=0: no asset management or risk assessment content. PR=2: focuses on acceptable use of systems, device management, access controls, and communications policy. DE=0: no monitoring or detection requirements. RS=0: no incident response procedures. RC=0: no recovery content."
MD_UMGC_LocalGov_Cybersecurity_2021.pdf,2,1,1,1,1,1,Advisory Report,"UMGC report on Maryland State and Local Government Cybersecurity (Dec 2021). Analysis and recommendations, not an implementing policy. GV=2: comprehensive governance analysis, organizational recommendations, legislation review. ID=1: risk assessment discussed in recommendations. PR=1: protection measures in recommendations. DE=1: detection discussed. RS=1: response discussed. RC=1: recovery discussed. All at partial (1) because conceptual/advisory rather than binding operational requirements."
MD_CybersecurityCouncil_Report_2025.pdf,2,0,0,0,0,0,Advisory Report,"Maryland Cybersecurity Council Biennial Activities Report (July 2025). Strategic overview of council activities and legislation. GV=2: governance activities, legislative connections, policy-setting described. ID/PR/DE/RS/RC=0: no operational requirements — this is a reporting/activity document, not an implementing policy with technical controls."
MD_Procurement_Manual.pdf,0,0,1,0,0,0,Procurement Document,"State of Maryland Procurement Manual (2019). Primarily an administrative procurement guide. GV=0: no cybersecurity governance. ID=0: no asset identification. PR=1: vendor security requirements exist in the procurement context; IT contracts reference security obligations, but cybersecurity is secondary to the procurement process. DE/RS/RC=0: no detection, response, or recovery content."
87bb47f3-ff2c-4353-a25e-d2c103b62a0c.pdf,1,1,1,0,0,0,Data Management Plan,"MD iMap Data Management Plan (Jan 2015). Geographic data governance document. GV=1: data governance structure and roles defined. ID=1: data inventory and classification aspects present. PR=1: data access controls referenced. DE/RS/RC=0: no monitoring, incident response, or recovery content. Not a cybersecurity policy; data management with security elements."
mpi3-25-compressed.pdf,0,0,0,0,0,1,Workforce Policy,"QUEST Disaster Recovery Dislocated Worker Grant Policy (May 2025). A workforce development policy for workers displaced by natural disasters. RC=1: 'disaster recovery' is in the title and scope, but refers to economic/workforce recovery from natural disasters, not IT/cyber recovery. No cybersecurity content whatsoever. Keyword tools falsely flag this document due to the terms 'disaster recovery' and 'training' appearing in a non-cybersecurity context."
09880433-9572-4fdf-a9d3-8cd4a11e32b6.pdf,0,0,0,0,0,0,Municipal Code,Town of Kensington Code of Ordinances (1992 Edition). Municipal law codification. No cybersecurity content.
1625df13-6b8e-4692-b06f-aab290812197.pdf,0,0,0,0,0,0,Meeting Agenda,"Town of Kensington Council Meeting Agenda (Aug 8, 2022). Administrative meeting agenda. No cybersecurity content."
1ef3c6b9-1d3f-4ddf-ba57-73d602ebf5f3.pdf,0,0,0,0,0,0,Meeting Minutes,"Maryland Apprenticeship and Training Council Meeting Minutes (Jan 14, 2025). Workforce apprenticeship program minutes. No cybersecurity content."
2019 Business Plan-compressed.pdf,0,0,0,0,0,0,Business Plan,"Maryland Correctional Enterprises (MCE) Business Plan 2019. Correctional industry operations document. Keywords like 'training' refer to inmate vocational training, not security awareness. No cybersecurity content."
2023-03-13-Agenda-and-Documents-compressed.pdf,0,0,0,0,0,0,Meeting Agenda,"Town of Kensington Council Meeting (Mar 13, 2023). Municipal meeting agenda and documents. No cybersecurity content."
2023-04-10-Agenda-and-Documents-compressed.pdf,0,0,0,0,0,0,Meeting Agenda,"Town of Kensington Council Meeting (Apr 10, 2023). Municipal meeting agenda and documents. No cybersecurity content."
2023-11-20-Agenda-and-Documnts-1-compressed.pdf,0,0,0,0,0,0,Meeting Agenda,"Town of Kensington Council Meeting (Nov 20, 2023). Municipal meeting agenda and documents. No cybersecurity content."
2023-12-13-Agenda-and-Documents-compressed.pdf,0,0,0,0,0,0,Meeting Agenda,"Town of Kensington Council Meeting (Dec 13, 2023). Municipal meeting agenda and documents. No cybersecurity content."
