Policy,DocumentType,IsPolicy,Govern_KW,Identify_KW,Protect_KW,Detect_KW,Respond_KW,Recover_KW,Govern_KW_norm,Identify_KW_norm,Protect_KW_norm,Detect_KW_norm,Respond_KW_norm,Recover_KW_norm,Govern_AI,Identify_AI,Protect_AI,Detect_AI,Respond_AI,Recover_AI,KW_flagged,AI_flagged,Reasoning
2019 Business Plan-compressed.pdf,Business Plan,0,0,0,14,6,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,"Maryland Correctional Enterprises (MCE) Business Plan 2019. Correctional industry operations document. Keywords like 'training' refer to inmate vocational training, not security awareness. No cybersecurity content."
af348882-aa0c-4882-a61c-1074246ecd14.pdf,Unclassifiable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scanned/image document with garbled OCR output. Cannot extract meaningful text. No classifiable cybersecurity content.
empguide-compressed.pdf,Reference Guide,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"Maryland Dept of Labor Employers' Quick Reference Guide (Unemployment Insurance). HR/employment law reference guide. Keyword hits on 'vendor'/'contractor' reflect employer-employee context, not cybersecurity."
Connecticut-Avenue-TLC-report-FINAL-Package-compressed.pdf,Urban Planning Report,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Connecticut Avenue Technical/Land-Use Committee report. Urban planning and community development document. No cybersecurity content.
MCE FY2016-FY2018 Business Plan-compressed.pdf,Business Plan,0,0,0,5,9,0,2,0,0,2,2,0,1,0,0,0,0,0,0,1,0,MCE Business Plan FY2016-FY2018. Correctional industry strategic plan. No cybersecurity content.
2023-11-20-Agenda-and-Documnts-1-compressed.pdf,Meeting Agenda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Town of Kensington Council Meeting (Nov 20, 2023). Municipal meeting agenda and documents. No cybersecurity content."
MD_DOIT_CyberRiskMgmt_Policy.pdf,Cybersecurity Policy,1,33,7,2,4,0,0,2,2,1,1,0,0,2,2,1,1,1,0,1,1,"State-level risk management policy (MD-POL-201-01, 2026). GV=2: defines risk appetite/tolerance, enterprise risk strategy, third-party risk management, and explicit SCISO/AO roles. ID=2: mandates vulnerability, privacy-impact, network, software, physical, and threat-intelligence assessments. PR=1: references ZTA access control and least-privilege but delegates specifics to other policies. DE=1: continuous monitoring referenced (section 200.2.7) but not detailed here. RS=1: risk response framed but no incident-response procedures. RC=0: no recovery/continuity content."
09880433-9572-4fdf-a9d3-8cd4a11e32b6.pdf,Municipal Code,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Town of Kensington Code of Ordinances (1992 Edition). Municipal law codification. No cybersecurity content.
MD_UMGC_LocalGov_Cybersecurity_2021.pdf,Advisory Report,0,101,18,79,13,10,15,2,2,2,2,2,2,2,1,1,1,1,1,1,1,"UMGC report on Maryland State and Local Government Cybersecurity (Dec 2021). Analysis and recommendations, not an implementing policy. GV=2: comprehensive governance analysis, organizational recommendations, legislation review. ID=1: risk assessment discussed in recommendations. PR=1: protection measures in recommendations. DE=1: detection discussed. RS=1: response discussed. RC=1: recovery discussed. All at partial (1) because conceptual/advisory rather than binding operational requirements."
MD_CybersecurityCouncil_Report_2025.pdf,Advisory Report,0,7,1,10,1,2,0,2,1,2,1,1,0,2,0,0,0,0,0,1,1,"Maryland Cybersecurity Council Biennial Activities Report (July 2025). Strategic overview of council activities and legislation. GV=2: governance activities, legislative connections, policy-setting described. ID/PR/DE/RS/RC=0: no operational requirements — this is a reporting/activity document, not an implementing policy with technical controls."
MD_DHMH_IT_SecurityPolicy.pdf,Cybersecurity Policy,1,21,0,161,23,1,14,2,0,2,2,1,2,2,2,2,2,2,1,1,1,"DHMH IT Technical Security Policy v4.0 (2014). GV=2: risk management, security authorization, planning, network service agreements, governance roles. ID=2: asset inventory, classification, risk assessment, system security categorization. PR=2: access control, authentication, encryption, training, configuration management, media protection, physical/personnel security, information integrity. DE=2: audit and accountability (section 7.2), system integrity. RS=2: incident response (section 6.4) and Incident Response Protocol (SAR-15). RC=1: contingency planning (section 6.3) mentioned but backup/DR less detailed than newer policies."
b6821233-35a3-4a8e-92f7-809f28d35a61.pdf,Financial Statement,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Town of Kensington Financial Statements FY2025. Audited municipal financial statements. No cybersecurity content.
